"participant_id,ai_usage_frequency,use_understand_concepts,use_summarize_content,use_debug_code,use_generate_answers,verify_ai_frequency,verify_crosscheck_sources,verify_ask_followup,verify_resolve_independently,ai_improves_final_answers,rely_on_ai_for_speed,try_understand_reasoning,can_explain_in_own_words,confidence_without_ai,prefer_structured_guidelines,verification_training_improves_learning"
"P1,Daily,Yes,Yes,Yes,Yes,Always,Yes,Yes,Yes,5,5,5,4,4,5,4"
"P2,Daily,Yes,Yes,Yes,Yes,Always,Yes,Yes,Yes,5,5,5,5,5,5,5"
"P3,Daily,Yes,Yes,Yes,No,Often,Yes,Yes,No,4,4,4,4,4,4,4"
"P4,Daily,Yes,Yes,No,Yes,Sometimes,Yes,No,No,4,4,3,4,3,5,4"
"P5,Daily,Yes,No,Yes,Yes,Always,Yes,Yes,Yes,5,5,5,5,5,5,5"
"P6,Weekly,Yes,Yes,Yes,No,Often,Yes,Yes,Yes,4,4,4,4,4,4,4"
"P7,Daily,Yes,Yes,Yes,Yes,Always,Yes,Yes,No,5,5,5,4,4,5,4"
"P8,Daily,Yes,Yes,No,Yes,Sometimes,Yes,No,No,3,4,3,3,3,3,3"
"P9,Weekly,Yes,Yes,Yes,No,Often,Yes,Yes,Yes,4,4,4,4,4,5,4"
"P10,Daily,Yes,Yes,Yes,Yes,Always,Yes,Yes,Yes,5,5,5,5,5,5,5"
"P11,Daily,Yes,No,Yes,Yes,Rarely,No,No,No,3,3,2,3,2,1,1"
"P12,Weekly,Yes,Yes,Yes,No,Often,Yes,Yes,No,4,4,4,4,4,4,4"
"P13,Daily,Yes,Yes,Yes,Yes,Always,Yes,Yes,Yes,5,5,5,4,4,5,5"
"P14,Occasionally,No,Yes,No,No,Sometimes,Yes,No,No,3,3,3,4,3,3,4"
"P15,Daily,Yes,Yes,Yes,Yes,Always,Yes,Yes,Yes,4,5,5,4,5,5,4"
"P16,Weekly,Yes,Yes,Yes,Yes,Often,Yes,Yes,Yes,4,4,4,4,4,5,5"
"P17,Daily,Yes,Yes,Yes,No,Always,Yes,Yes,Yes,5,4,5,5,4,5,4"
"P18,Daily,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,No,4,4,4,4,3,4,4"
"P19,Weekly,Yes,No,Yes,Yes,Often,Yes,Yes,No,4,4,4,4,4,5,4"
"P20,Daily,Yes,Yes,No,Yes,Always,Yes,Yes,Yes,5,5,5,5,5,5,5"
"P21,Weekly,Yes,Yes,Yes,No,Always,Yes,No,Yes,4,3,3,4,4,5,4"